,RMSE,MAE,R2
Fx,4.529256869028796,3.521714448928833,0.8862263560295105
Fy,5.232097619957099,3.9118666648864746,0.8262667655944824
Fz,48.2218409775656,36.108360290527344,0.8841186165809631
Tx,37.858198109029175,30.069965362548828,0.009266972541809082
Ty,8.122355808470504,5.981813430786133,0.9320598840713501
Tz,2.8634161403466756,2.2153587341308594,0.8743546009063721
