learning_rate,batch_size,lambda_physics,best_val_total_loss,val_data_loss,val_phys_loss,time_seconds
0.01,32,0.0,0.49890935234725475,0.49890935234725475,282.62767124176025,3.6606431007385254
0.01,32,0.01,0.5421018401781718,0.8096973492453495,8.135370060801506,3.3748881816864014
0.01,32,0.05,0.5355904990186294,0.5941938329488039,0.24727355726160263,3.1748743057250977
0.01,32,0.1,0.7440914747615656,0.8088566605001688,0.04239121174503572,3.0287184715270996
0.01,32,0.5,0.6082764888803164,0.7468244638293982,0.21473757515195757,3.3218936920166016
0.01,64,0.0,0.6171185237665971,0.6292775757610798,313.69750213623047,1.9999430179595947
0.01,64,0.01,0.6599823782841364,0.8712774539987246,3.683462424824635,1.7322967052459717
0.01,64,0.05,0.6097176112234592,0.6394635314742724,0.05705475093175968,2.063419818878174
0.01,64,0.1,0.661020141094923,0.6844793073832989,0.33486185284952324,1.4375240802764893
0.01,64,0.5,0.7606625879804293,0.6068643455704054,0.3990623876452446,1.6313574314117432
0.01,128,0.0,0.5439113726218542,0.5995986461639404,270.9289855957031,1.0392918586730957
0.01,128,0.01,0.6384183416763941,1.2218388964732487,39.834511463840805,1.1161069869995117
0.01,128,0.05,0.6741658747196198,0.7210107495387396,0.22824434066812196,1.0384831428527832
0.01,128,0.1,0.6007445057233175,0.5790091206630071,0.446324849811693,0.9601414203643799
0.01,128,0.5,5.642489035924275,0.8264536162217458,31.377880539745092,1.1997826099395752
0.001,32,0.0,0.5693243549515804,0.6708929439385732,183.88702831665674,2.332958459854126
0.001,32,0.01,0.7463044462104639,0.7560735382139683,0.8061900289418796,2.364997625350952
0.001,32,0.05,0.7533918544650078,0.7561826209227244,0.5043606753849114,2.6905410289764404
0.001,32,0.1,0.646808331211408,0.8369518481194973,0.40751221395718557,2.675502061843872
0.001,32,0.5,0.687244113534689,0.7955145854502916,0.44858673042714753,2.232732057571411
0.001,64,0.0,0.6426023095846176,0.645907940963904,178.78906134764352,1.3686792850494385
0.001,64,0.01,0.6825943440198898,0.7521182025472323,0.462687178204457,1.4819238185882568
0.001,64,0.05,0.6309279377261797,0.6743940884868304,0.3599997015383754,1.3996315002441406
0.001,64,0.1,0.6642871722579002,0.7561048890153567,0.41723226228108007,1.3796470165252686
0.001,64,0.5,0.7491722851991653,0.693096694846948,0.2646741170125703,1.4996156692504883
0.001,128,0.0,0.6925617804129919,0.8213924368222555,446.6345863342285,0.9663760662078857
0.001,128,0.01,0.7196084558963776,0.7687717278798422,1.2846712917089462,0.9662842750549316
0.001,128,0.05,0.6666041165590286,0.8006777415672938,0.7639937636752924,0.9418838024139404
0.001,128,0.1,0.6817644586165746,0.703647588690122,0.4672846645116806,1.099590539932251
0.001,128,0.5,0.7008721580108007,0.589855874578158,0.3107064552605152,0.9997231960296631
0.0001,32,0.0,0.5824444306393465,0.8175621541837851,294.12290640672046,2.251469850540161
0.0001,32,0.01,0.6498382600645224,0.7630153434971968,3.735561858086536,2.6659018993377686
0.0001,32,0.05,0.762904072801272,0.6604632157832384,3.2914424361661077,3.3091745376586914
0.0001,32,0.1,0.8921995150546232,0.7478406665225824,3.3970197731008134,3.4213368892669678
0.0001,32,0.5,1.1701327338814735,0.5814597389350334,1.2420428507321049,3.3027548789978027
0.0001,64,0.0,0.6074621106187502,0.8273335124055544,208.1369775136312,1.6734695434570312
0.0001,64,0.01,0.7111353849371275,0.7451066424449285,7.764833883692821,1.7175755500793457
0.0001,64,0.05,0.7731583913167318,0.6447240399817625,4.011391801759601,1.6503381729125977
0.0001,64,0.1,1.637018082042535,0.5990209716061751,10.379970717554292,1.758859395980835
0.0001,64,0.5,1.438255362212658,0.588746706644694,1.6990172873872023,1.742722988128662
0.0001,128,0.0,0.561929407219092,0.6494610384106636,176.30207506815592,1.2664930820465088
0.0001,128,0.01,0.6439205209414164,0.662170484662056,3.063274785876274,1.2185816764831543
0.0001,128,0.05,0.9313499331474304,0.5883652617534002,6.859693381935358,1.1451551914215088
0.0001,128,0.1,0.7743680973847707,0.5945728172858556,1.7979528506596882,1.2261579036712646
0.0001,128,0.5,1.4179185032844543,0.5902733107407888,1.655290424823761,1.1568446159362793
