Component,RMSE,MAE,R2
Fx,14.71770808911783,11.656373977661133,-0.004790544509887695
Fy,13.239723683035269,10.277398109436035,-0.1808410882949829
Fz,154.77978307905718,140.89686584472656,-0.02686464786529541
Tx,36.59184352687512,27.780742645263672,-0.08194172382354736
Ty,31.792233229988735,25.545814514160156,-0.0236281156539917
Tz,7.090176526711563,5.73063850402832,-0.0006949901580810547
